platform,imgyear,julday,reflfile,tcfile,cloudfile
TM,1984,256,M:\Bering_Glacier\063018\images\1984\LT5063018_1984_256_archv.bsq,M:\Bering_Glacier\063018\images\1984\LT5063018_1984_256_tc.bsq,M:\Bering_Glacier\063018\images\1984\LT5063018_1984_256_cloudmask.bsq
TM,1986,181,M:\Bering_Glacier\063018\images\1986\LT5063018_1986_181_archv.bsq,M:\Bering_Glacier\063018\images\1986\LT5063018_1986_181_tc.bsq,M:\Bering_Glacier\063018\images\1986\LT5063018_1986_181_cloudmask.bsq
TM,1986,261,M:\Bering_Glacier\063018\images\1986\LT5063018_1986_261_archv.bsq,M:\Bering_Glacier\063018\images\1986\LT5063018_1986_261_tc.bsq,M:\Bering_Glacier\063018\images\1986\LT5063018_1986_261_cloudmask.bsq
TM,1990,224,M:\Bering_Glacier\063018\images\1990\LT5063018_1990_224_archv.bsq,M:\Bering_Glacier\063018\images\1990\LT5063018_1990_224_tc.bsq,M:\Bering_Glacier\063018\images\1990\LT5063018_1990_224_cloudmask.bsq
TM,1990,304,M:\Bering_Glacier\063018\images\1990\LT5063018_1990_304_archv.bsq,M:\Bering_Glacier\063018\images\1990\LT5063018_1990_304_tc.bsq,M:\Bering_Glacier\063018\images\1990\LT5063018_1990_304_cloudmask.bsq
TM,1991,179,M:\Bering_Glacier\063018\images\1991\LT5063018_1991_179_archv.bsq,M:\Bering_Glacier\063018\images\1991\LT5063018_1991_179_tc.bsq,M:\Bering_Glacier\063018\images\1991\LT5063018_1991_179_cloudmask.bsq
TM,1991,195,M:\Bering_Glacier\063018\images\1991\LT5063018_1991_195_archv.bsq,M:\Bering_Glacier\063018\images\1991\LT5063018_1991_195_tc.bsq,M:\Bering_Glacier\063018\images\1991\LT5063018_1991_195_cloudmask.bsq
TM,1993,104,M:\Bering_Glacier\063018\images\1993\LT5063018_1993_104_archv.bsq,M:\Bering_Glacier\063018\images\1993\LT5063018_1993_104_tc.bsq,M:\Bering_Glacier\063018\images\1993\LT5063018_1993_104_cloudmask.bsq
TM,1993,152,M:\Bering_Glacier\063018\images\1993\LT5063018_1993_152_archv.bsq,M:\Bering_Glacier\063018\images\1993\LT5063018_1993_152_tc.bsq,M:\Bering_Glacier\063018\images\1993\LT5063018_1993_152_cloudmask.bsq
TM,1993,248,M:\Bering_Glacier\063018\images\1993\LT5063018_1993_248_archv.bsq,M:\Bering_Glacier\063018\images\1993\LT5063018_1993_248_tc.bsq,M:\Bering_Glacier\063018\images\1993\LT5063018_1993_248_cloudmask.bsq
