platform,imgyear,julday,reflfile,tcfile,cloudfile
TM,1984,201,T:\Groups\Spacers-Annex2\Scenes\046031\images\1984\LT5046031_1984_201_20120326_150314_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1984\LT5046031_1984_201_20120327_095523_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1984\LT5046031_1984_201_20120127_074113_cloudmask.bsq
TM,1984,217,T:\Groups\Spacers-Annex2\Scenes\046031\images\1984\LT5046031_1984_217_20120326_150954_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1984\LT5046031_1984_217_20120327_095803_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1984\LT5046031_1984_217_20120326_150213_cloudmask.bsq
TM,1984,185,T:\Groups\Spacers-Annex2\Scenes\046031\images\1984\LT5046031_1984_185_20120326_151626_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1984\LT5046031_1984_185_20120327_100040_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1984\LT5046031_1984_185_20120127_074001_cloudmask.bsq
TM,1985,219,T:\Groups\Spacers-Annex2\Scenes\046031\images\1985\LT5046031_1985_219_20120326_152314_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1985\LT5046031_1985_219_20120327_100321_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1985\LT5046031_1985_219_20120127_074336_cloudmask.bsq
TM,1985,187,T:\Groups\Spacers-Annex2\Scenes\046031\images\1985\LT5046031_1985_187_20120326_152917_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1985\LT5046031_1985_187_20120327_100603_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1985\LT5046031_1985_187_20120127_074223_cloudmask.bsq
TM,1986,206,T:\Groups\Spacers-Annex2\Scenes\046031\images\1986\LT5046031_1986_206_20120326_153538_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1986\LT5046031_1986_206_20120327_100843_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1986\LT5046031_1986_206_20120127_074511_cloudmask.bsq
TM,1986,222,T:\Groups\Spacers-Annex2\Scenes\046031\images\1986\LT5046031_1986_222_20120326_154151_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1986\LT5046031_1986_222_20120327_101121_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1986\LT5046031_1986_222_20120127_074712_cloudmask.bsq
TM,1987,209,T:\Groups\Spacers-Annex2\Scenes\046031\images\1987\LT5046031_1987_209_20120326_154807_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1987\LT5046031_1987_209_20120327_101400_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1987\LT5046031_1987_209_20120127_074949_cloudmask.bsq
TM,1987,241,T:\Groups\Spacers-Annex2\Scenes\046031\images\1987\LT5046031_1987_241_20120326_155425_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1987\LT5046031_1987_241_20120327_101641_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1987\LT5046031_1987_241_20120127_075101_cloudmask.bsq
TM,1987,193,T:\Groups\Spacers-Annex2\Scenes\046031\images\1987\LT5046031_1987_193_20120326_160017_to_ledaps_1998_207.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1987\LT5046031_1987_193_20120327_101925_ltc.bsq,T:\Groups\Spacers-Annex2\Scenes\046031\images\1987\LT5046031_1987_193_20120127_074834_cloudmask.bsq
